Family,Individual,RandomNmbr,Population,Elk?,Notes,Florettes,Flors per stalk,Date of Flwr,Date of Srvy,Total Height(mm),Stalks,Grey Beetle,Aphid,Ant,BlackOrangeWasp,Syrphid Fly,RedBlackFly,LargeHairyFly,Tiny Fly,GreenTrueBug,SkinnyBlackFly,BlackYellowFly,TinyRedSpider,BrightGreenFly,GreyMoth,BlackWasp,Wasp,HumpbackFly,Thrips,SkinnyBee,FruitFly,BrownFly,HoneyBee,BigBlackFly,BlackGreyFly,Microbutterfly,LongHornBeetle,BrightGreenSpider,SkinnyBrownSpider,BlackWhiteFly,OrangeYellowHairyBee,BlackOrangeButterfly
FS 18,oC,0.920906014,FS,,,143,35.75,65,,409,4,11,62,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
FS 18,oD,0.812556011,FS,,,75,18.75,77,,378,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FS 18,oE,0.817021927,FS,,,133,66.5,77,,401,2,6,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FS 18,oF,0.172211744,FS,,,82,82,77,,374,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FS 18,G,0.3590505,FS,,,68,68,77,,323,1,1,54,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FS 18,H,0.379960716,FS,,,105,52.5,84,,309,2,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FS 18,I,0.062571955,FS,,,93,18.6,84,,443,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FS 18,J,0.476333392,FS,,,14,7,85,,333,2,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FS 18,K,0.905743942,FS,,,31,10.33333333,95,,205,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FS 22,A,0.527678017,FS,,,146,73,65,,376,2,33,7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
FS 22,B,0.376868335,FS,,,106,35.33333333,67,,444,3,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FS 22,C,0.354408294,FS,,,51,25.5,70,,363,2,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FS 22,D,0.806342106,FS,,,167,55.66666667,77,,324,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FS 22,E,0.848685067,FS,,,73,24.33333333,77,,313,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FS 22,F,0.818684185,FS,,,47,23.5,78,,347,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FS 22,G,0.543285761,FS,,,60,15,95,,390,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FS 22,H,0.364307056,FS,,,14,7,113,,274,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FS 26,A,0.528317292,FS,,,82,82,77,,444,1,22,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FS 26,B,0.440974676,FS,,,96,48,91,,488,2,2,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FS 26,C,0.556101412,FS,,,21,10.5,91,,260,2,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FS 3,A,0.164829949,FS,,,59,19.66666667,67,,379,3,19,82,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FS 3,B,0.073898261,FS,,,141,47,77,,392,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FS 3,C,0.978010451,FS,,,96,48,77,,422,2,5,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FS 3,D,0.966975349,FS,,,161,161,84,,132,1,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
FS 3,E,0.919521451,FS,,,84,42,84,,220,2,10,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FS 3,F,0.813582558,FS,,,98,98,84,,477,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FS 7,FS Res #7,0.488387236,FS,,,66,33,56,,291,2,6,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FS 52,FS Res 52,0.947934481,FS,,,196,196,51,,455,1,20,5,2,3,3,1,2,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ft Vall 28,A,0.128529113,Ft Vall,Yes,,43,21.5,72,,368,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ft Vall 31,A,0.500677515,Ft Vall,Yes,,143,143,29,,338,1,28,1,4,0,2,2,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ft Vall 31,B,0.375875347,Ft Vall,Yes,,36,12,36,,342,3,12,1,1,0,8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ft Vall 31,C,0.983312515,Ft Vall,Yes,,138,46,58,,349,3,29,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ft Vall 31,E,0.137368316,Ft Vall,Yes,,46,46,67,,242,1,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ft Vall 31,F,0.550972787,Ft Vall,Yes,,37,12.33333333,67,,313,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ft Vall 31,G,0.51787738,Ft Vall,Yes,,48,12,70,,257,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ft Vall 34,A,0.765341291,Ft Vall,Yes,,64,32,51,,352,2,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ft Vall 34,B,0.278089786,Ft Vall,Yes,,55,27.5,78,,453,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ft Vall 5,C,0.14268172,Ft Vall,Yes,,84,42,65,,309,2,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ft Vall 5,D,0.936414805,Ft Vall,Yes,,151,75.5,67,,372,2,4,28,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Ft Vall 5,F,0.717848773,Ft Vall,Yes,,19,19,91,,320,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ft Vall 5,B,0.995918536,Ft Vall,Yes,,135,67.5,58,,332,2,9,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ft Valley 13,A,0.152875017,Ft Vall,Yes,,75,75,65,,277,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ft Valley 13,B,0.161151526,Ft Vall,Yes,,55,18.33333333,70,,404,3,4,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ft Valley 13,C,0.17699553,Ft Vall,Yes,,81,40.5,84,,319,2,2,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ft Valley 6,A,0.329203877,Ft Vall,Yes,,90,30,63,,283,3,5,0,1,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ft Valley 6,B,0.477106598,Ft Vall,Yes,,78,78,72,,415,1,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ft Valley 6,C,0.833266746,Ft Vall,Yes,,30,30,77,,294,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ft Valley 6,#A,0.214088005,Ft Vall,Yes,,27,27,86,,213,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Grnhs 10,A,0.223074845,Grnhs,No,,90,30,70,,452,3,7,8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grnhs 10,B,0.040123149,Grnhs,No,,50,10,77,,409,5,32,47,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Grnhs 10,C,0.603203655,Grnhs,No,,29,9.666666667,77,,369,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grnhs 10,D,0.094794619,Grnhs,No,,58,19.33333333,77,,497,3,1,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grnhs 10,G,0.802772535,Grnhs,No,,34,11.33333333,84,,315,3,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grnhs 10,H,0.347976023,Grnhs,No,,36,9,93,,407,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grnhs 10,I,0.561534548,Grnhs,No,,22,4.4,100,,415,5,1,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grnhs 13,A,0.81599394,Grnhs,No,,63,63,84,,147,1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grnhs 14,A,0.509250469,Grnhs,No,,78,39,70,,504,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Grnhs 14,B,0.828563102,Grnhs,No,,30,7.5,86,,485,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grnhs 1,A,0.223092568,Grnhs,No,,29,14.5,72,,467,2,7,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grnhs 1,B,0.366609882,Grnhs,No,,105,105,84,,520,1,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grnhs 1,C,0.971782621,Grnhs,No,,54,54,84,,527,1,2,20,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grnhs 1,D,0.782380154,Grnhs,No,,84,42,84,,514,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grnhs 4,A,0.745721327,Grnhs,No,,180,90,67,,380,2,14,36,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grnhs 4,B,0.481378816,Grnhs,No,,85,42.5,84,,505,2,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grnhs 7,A,0.498818227,Grnhs,No,,53,26.5,65,,374,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grnhs 7,B,0.155053486,Grnhs,No,,81,27,72,,291,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grnhs 8,A,0.307147753,Grnhs,No,,50,25,84,,274,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K In 13,oA,0.493463428,K In,No,,76,25.33333333,60,,365,3,56,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
K In 13,B,0.594970603,K In,No,,51,51,84,,229,1,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K In 13,oC,0.856992113,K In,No,,31,31,100,,217,1,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K In 13,D,0.004648213,K In,No,,36,36,105,,257,1,0,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K In 15,,0.484192829,K In,No,,264,88,103,,445,3,20,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
K In 15,C,0.694035617,K In,No,,31,15.5,100,,216,2,21,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
K In 15,D,0.666341444,K In,No,,19,19,100,,184,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K In 15,E,0.393250057,K In,No,,37,18.5,107,,257,2,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K In 21,A,0.592897337,K In,No,,75,37.5,108,,314,2,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
K In 24,A,0.335906247,K In,No,,18,6,92,,261,3,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K In 24,B,0.095676046,K In,No,,33,16.5,100,,209,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K In 28,A,0.715674817,K In,No,,82,41,63,,362,2,28,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
K In 30,A,0.227096722,K In,No,,19,9.5,100,,145,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
K In 38,A,0.840065633,K In,No,,218,218,101,,431,1,43,65,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
K In 38,B,0.831986818,K In,No,,157,157,108,,544,1,20,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
K In 38,C,0.954572926,K In,No,,91,22.75,85,,304,4,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0
K In 38,D,0.350859372,K In,No,,92,92,92,,340,1,6,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K In 38,E,0.99872172,K In,No,,144,144,92,,510,1,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
K In 38,F,0.144022509,K In,No,,9,2.25,113,,157,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K In 44,A,0.800901559,K In,No,,75,75,67,,337,1,9,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K In 49,B,0.198521112,K In,No,,213,213,72,,347,1,53,77,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
K In 49,C,0.900516963,K In,No,,103,51.5,84,,430,2,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K In 49,D,0.463223513,K In,No,,45,45,86,,331,1,10,12,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K In 49,E,0.05586838,K In,No,,55,27.5,95,,271,2,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
K In 49,F,0.146125516,K In,No,,68,68,105,,321,1,1,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K In 49,G,0.592109435,K In,No,,49,49,105,,290,1,1,85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K Out 2,A,0.883211205,K Out,Yes,,38,19,108,,256,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K Out 2,B,0.758122635,K Out,Yes,,51,51,108,,222,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K Out 21,A,0.667068615,K Out,Yes,,76,19,60,,382,4,5,64,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
K Out 23,A,0.283824561,K Out,Yes,,121,40.33333333,58,,393,3,58,5,1,0,2,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
K Out 23,B,0.321973498,K Out,Yes,,53,26.5,67,,310,2,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K Out 23,C,0.457006371,K Out,Yes,,70,23.33333333,84,,224,3,4,17,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
K Out 23,D,0.643888077,K Out,Yes,,36,36,91,,345,1,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
K Out 24,A,0.912895495,K Out,Yes,,27,13.5,70,,366,2,2,23,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K Out 25,A,0.425700222,K Out,Yes,,119,119,60,,391,1,19,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K Out 25,B,0.449831285,K Out,Yes,,103,51.5,72,,346,2,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K Out 25,C,0.236854776,K Out,Yes,,21,10.5,84,,394,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K Out 25,D,0.142043542,K Out,Yes,,67,67,91,,301,1,14,57,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K Out 25,E,0.936802172,K Out,Yes,,82,41,100,,324,2,2,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K Out 29,,0.20171986,K Out,Yes,,95,95,51,,316,1,79,0,1,0,2,0,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K Out 29,B,0.107388367,K Out,Yes,,71,71,56,,354,1,35,9,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K Out 29,C,0.419449483,K Out,Yes,,96,96,72,,331,1,5,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K Out 33,A,0.774059608,K Out,Yes,,122,40.66666667,72,,342,3,10,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K Out 33,B,0.277077313,K Out,Yes,,117,39,77,,381,3,9,32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K Out 33,C,0.9101728,K Out,Yes,,17,17,84,,148,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K Out 33,D,0.188415356,K Out,Yes,,53,26.5,91,,353,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
K Out 38,A,0.763251277,K Out,Yes,,36,36,70,,395,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K Out 39,B,0.581820782,K Out,Yes,,137,68.5,67,,351,2,52,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
K Out 39,C,0.902339384,K Out,Yes,,136,136,70,,338,1,19,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
K Out 39,D,0.259783709,K Out,Yes,,86,86,72,,270,1,10,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
K Out 40,A,0.078760985,K Out,Yes,,71,23.66666667,56,,296,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
